"history_id","user_id","song_id","timestamp"
"601","1","401","2024-02-01 12:30:45"
"602","2","402","2024-02-02 14:15:30"
"603","3","403","2024-02-03 16:45:10"
"604","4","404","2024-02-04 18:20:55"
"605","5","405","2024-02-05 20:10:05"
"606","1","406","2024-02-06 21:15:30"
"607","2","407","2024-02-07 23:00:10"
"608","3","408","2024-02-08 01:05:45"
"609","4","409","2024-02-09 02:40:20"
"610","5","410","2024-02-10 04:55:30"
"611","1","401","2024-02-11 10:20:15"
"612","3","403","2024-02-12 11:45:00"
